half_year,tmax,tmin,af,rainfall,sun
latter,17.6,11.7,0,106.4,87.7
latter,15.8,10.7,0,165.8,78.7
latter,14.1,9.2,0,47,83.4
latter,10.4,5.5,3,200,44.2
latter,5.4,1.5,8,99.6,15.9
first,3.3,-2.6,24,96.7,44.9
first,4.3,-1.2,16,14.9,72.6
first,6.9,0.9,9,157.3,96.5
first,10.7,3.8,2,64.8,123.6
first,13.4,5.3,0,43,183.5
first,17.9,10.4,0,77.1,175.1
latter,17.8,11.5,0,39.7,107.9
latter,17.8,10.4,0,134.2,147.4
latter,15.6,9.1,0,77.6,133.6
latter,13.2,7.7,0,150,56
latter,8.7,3,7,205.4,34.1
latter,6.7,2.1,9,177.4,38.3
first,4.4,-0.1,12,69.8,31.5
first,7,2.8,4,73.3,20.8
first,7.3,1.7,8,74.4,80.3
first,13.8,5.3,0,7.9,177.3
first,17.6,6.8,0,22,250.7
first,16.9,9.9,0,74.6,120
latter,17.8,10.6,0,112.3,113.9
latter,18,11.3,0,129.6,102.7
latter,16.3,10.8,0,129,75.9
latter,11,5.4,1,137.3,84.2
latter,8.8,3.8,6,142.9,45
latter,8.1,2.9,5,185.3,24.4
first,7.3,1.8,12,89.2,35.1
first,6.5,0.7,14,90.4,75
first,9.6,3.2,3,150.2,75.5
first,12.9,4.2,2,13.8,191.2
first,15.5,7.5,0,125.9,124.4
first,16.8,9.8,0,78.1,141.4
latter,18.1,11.5,0,82.6,144.6
latter,19.3,11.9,0,16.4,166.3
latter,16.8,10.1,0,246.8,107.1
latter,10.5,3.5,4,164.9,100.7
latter,10.1,4.6,0,148,43.7
latter,2.2,-3.5,21,30.2,29.7
first,5.1,-0.3,10,118,30.8
first,8,2.8,4,96.4,52.7
first,9.7,2.3,2,153.2,113.5
first,13.4,5.3,0,32.6,158.4
first,15.9,6.5,1,81.9,197.2
first,17.9,10.7,0,68.5,133.9
latter,21.3,12.4,0,15.7,189.2
latter,18.1,11.9,0,125.8,126.4
latter,15.8,9.6,0,160.9,104.6
latter,12.9,7.3,0,152.6,62.6
latter,9.3,3.9,4,183.5,33.4
latter,6.7,1.3,12,153.6,32.1
first,8.3,3.3,1,205.4,24.8
first,5.2,-0.4,15,47.5,60.5
first,9.1,3.9,2,99.5,60.4
first,10.5,2.9,4,37.4,120.5
first,13.5,7,0,107.5,90.2
first,17.1,9.7,0,57.6,147.7
latter,21.9,13.3,0,28,172.3
latter,21.4,12.6,0,34.1,173.8
latter,15.2,9.2,0,153.2,79.2
latter,12.3,6.8,2,236.2,58.3
latter,10.1,4.8,6,19.1,48
latter,8.8,3.6,3,148.1,28.4
first,4.8,-0.3,12,192.7,31.5
first,6.6,2.2,5,87.2,47.8
first,8.2,2.8,3,53,60
first,13.7,4.5,2,19.4,167
first,16.8,6.8,0,17.4,219.4
first,18.3,10.8,0,36.5,144.6
latter,22.1,12.2,0,12.4,219.2
latter,21.5,12.6,0,29,165.3
latter,15.4,9.4,0,129.7,85
latter,12.8,7.2,0,201.6,77.9
latter,9.3,4.9,3,191.5,35.7
latter,7.7,3.1,5,132.7,24.1
first,3.8,-1.2,21,53,49.4
first,6.2,0.2,11,31.3,69.3
first,8,1.7,8,81.3,115.3
first,11.9,4.7,0,61.5,120.9
first,15.3,7.3,0,56.1,157.7
first,16.6,8.9,0,69.5,166.3
latter,18,11.8,0,165,94.2
latter,16.8,10.7,0,185.7,110.7
latter,15.3,9.8,0,288.2,75.3
latter,13.3,7.4,0,54.8,89.6
latter,6.8,0.3,17,115,53.7
latter,7.5,3.1,6,178.2,25.8
first,5.4,0.1,14,151.4,40.9
first,3.1,-1.8,21,8.8,62.6
first,8.7,2.2,5,163.2,116.3
first,9.5,2.6,5,55.7,110.7
first,13.8,7.4,0,165.6,142.7
first,18.6,9.7,0,40.7,186.3
latter,18,11.3,0,87.6,110.9
latter,17.1,9.4,0,121.2,122.1
latter,15.3,7.6,0,30.9,147.6
latter,12.8,7.3,0,161.7,89.2
latter,10.1,4.6,4,205.1,50.8
latter,7.2,2.8,2,246.5,32.5
first,4,-0.7,14,64.5,38.9
first,7.1,0.4,11,81.3,65.8
first,8.1,1,11,118.5,104.9
first,13.1,5.6,0,54.9,116.3
first,14.9,6.2,0,58.7,199
first,16.3,8.7,0,117.4,126.1
latter,19.3,11.8,0,53.4,146.7
latter,18.5,10.7,0,106,143.8
latter,16,9.1,0,113.5,158.4
latter,11.3,4.7,4,150.9,84.8
latter,8.5,4.1,3,81.4,52
latter,7.6,2.1,10,119.7,24.7
first,6.5,1.8,7,160.7,39.8
first,7.6,2.1,1,111.9,77.2
first,8.9,2.3,8,146.1,68.2
first,12.1,4.3,1,68.1,112.5
